"","id","true value","MSM U included","MSM U excluded","SF method","BSA: time varying","BSA: time fixed"
"206",206,-10.2688811704345,-11.7449006087295,-12.8487451431596,-11.8805477120895,-9.50301364157053,-10.4260555736239
"207",207,-10.2874734607679,-9.78492064412815,-10.5415876848263,-10.1678994102305,-9.2375775448424,-9.98229990416953
"208",208,-10.2606415598979,-10.0607738311261,-11.266141428587,-10.5660719836687,-8.97547432691185,-10.1237550880554
"209",209,-10.2671064812543,-9.34881777496912,-11.4396576901085,-10.3650778317679,-10.5496719664851,-11.3062139321315
"210",210,-10.2631303820124,-10.5589599478019,-11.4486587420633,-10.5823147125034,-10.0746238262754,-10.7232723796293
"211",211,-10.2713753457995,-10.0404843838028,-11.5308116629141,-10.5290171385331,-7.3073680218945,-8.99287615766164
"212",212,-10.2751496720148,-9.39107919279031,-10.4044050465081,-9.72616621613142,-9.0064881774873,-10.1112469919104
"213",213,-10.2755594770376,-9.27035184902664,-11.5807282240606,-10.7451763998778,-10.2167460744545,-11.2821400146813
"214",214,-10.2655194092668,-9.60329974587633,-11.074607352093,-10.2969624623101,-10.5882774215794,-11.1322205006329
"215",215,-10.2599585406634,-9.53605306954354,-11.271520845568,-10.2295313742717,-10.5668321573746,-10.3867658824142
"216",216,-10.2770562110542,-10.5709398118886,-11.5767645318399,-10.7568148909716,-10.4263250754759,-10.5027987068099
"217",217,-10.2686796774901,-10.006257477454,-11.172722933106,-10.3802987285648,-10.0399300021449,-10.9628355610935
"218",218,-10.2694195818711,-9.95419036192079,-11.8624983570683,-10.8087580287376,-10.5516750135909,-11.1129038441037
"219",219,-10.2620205864888,-10.7107590219514,-12.0641323489375,-11.1063009344746,-8.89696743873013,-11.4882567336834
"220",220,-10.2729774156665,-10.3972744923637,-11.2296901236559,-10.1879096682304,-9.26293612117645,-10.4237215753112
"221",221,-10.2692832972817,-10.268911881721,-11.379951996599,-10.3469061472958,-10.0016965547788,-10.9028437137908
"222",222,-10.2597487768616,-10.4531013836081,-10.9495235996152,-9.98786372529227,-10.0325353812222,-10.6443620437192
"223",223,-10.2715964379843,-10.4828221926437,-11.6235774487293,-10.5265495883734,-9.83938674970641,-10.4711390209993
"224",224,-10.2764248022835,-10.8772663070562,-11.689885701472,-10.85345975141,-9.927135213901,-10.8170264893238
"225",225,-10.2688397360517,-11.2353988134063,-12.3027479452792,-11.3105348655538,-10.6759000240023,-11.3632200011549
"226",226,-10.2720156374717,-10.4009231348227,-11.6035674369323,-10.6412759900427,-10.0749523010556,-11.0422199474703
"227",227,-10.2726720309597,-11.4995344713564,-12.7739071070078,-11.6672950615132,-9.78612040898214,-11.2934681879779
"228",228,-10.266622431229,-10.2711957783534,-11.4228596946864,-10.4695208971722,-9.57738016005994,-11.0413778040726
"229",229,-10.2700633737866,-9.48649849565656,-10.7489223046744,-9.77630906249482,-9.02511464832557,-10.4563371752139
"230",230,-10.2621741013916,-10.5909224445103,-11.6891767213922,-10.802857378508,-9.88391167576964,-11.1036640253651
"231",231,-10.2805045936684,-10.4013951272812,-11.2649900852796,-10.547310388443,-9.73003955392208,-11.0000530422535
"232",232,-10.263485701967,-10.789439846432,-12.5155574455556,-11.3945454731017,-10.4250332690808,-11.6864174808447
"233",233,-10.2644891451962,-9.93977593710171,-11.0454592350965,-10.1730965550967,-10.3881538932048,-10.280758187653
"234",234,-10.2568008381327,-9.56231450836573,-11.2489467963371,-10.2860886850296,-10.420817325267,-10.9848945372446
