"","True Value","MSM with U","MSM without U","SF (MSM)","SF (BMSM)","SF (MSM, h=2)","SF (BMSM, h=2)","BSA time varying","BSA constant"
"117",-10.2683046812778,-9.10011223228254,-10.5146159891892,-9.6701646835195,-9.6526524558666,-9.64042411878261,-9.58397163091253,-9.5629650377232,-10.1339210328785
"118",-10.2684885281028,-10.467146180016,-11.4201994819937,-10.2720853621169,-10.3061028275149,-10.2233996726958,-10.272298186263,-10.6003167973772,-10.8995191597233
"119",-10.279457974305,-8.8094023966512,-10.5826431314624,-9.52280099209293,-9.54474726967026,-9.5309114796438,-9.54076401067151,-8.76858580056629,-10.4447110666201
"120",-10.2804938996118,-9.92501251209875,-11.3598943939308,-10.4783987931405,-10.5078192365902,-10.4897919275939,-10.5419019585973,-10.4984937909171,-11.1450568158566
"121",-10.277789713452,-10.3237170091187,-11.9361334620749,-10.4055976898496,-10.3969207222697,-10.353210150487,-10.3494872695412,-11.7045419073565,-12.1603482966253
"122",-10.278728220439,-10.3196086998011,-11.1392265563799,-10.0843233691623,-10.0703297610978,-10.1308228591016,-10.1225351175827,-9.7579389021352,-10.1711913305431
"123",-10.2738546930533,-10.0241296718944,-11.4023881783936,-10.267889829801,-10.2531703272594,-10.2768909889742,-10.2585897037,-10.1820739396732,-11.4538720321762
"124",-10.2654697041766,-9.94847909416054,-11.6462590761522,-10.3604164656393,-10.3657514624126,-10.3564154506242,-10.3745461223014,-10.3620524002846,-11.079695163195
"125",-10.25482175522,-9.6507280172592,-11.1360396999671,-9.90215418474956,-9.97450065123903,-9.90756998294174,-10.0203766559146,-8.52905064623001,-11.0004365955968
"126",-10.2676813924527,-10.7390284048726,-11.8801161005374,-10.5639938615227,-10.5882735296774,-10.5629052049915,-10.6035159026437,-10.0983737725324,-10.966709842761
"127",-10.2697192859262,-10.4512451929227,-11.5085073429101,-10.5598395634371,-10.582959613497,-10.5780006578164,-10.622628277404,-8.41231114207369,-9.32797635287318
"128",-10.2711543251368,-10.7965636842769,-12.1552647821127,-10.8653775185393,-10.8852019142566,-10.8385010352318,-10.8692959532776,-9.86447405793114,-11.1704879711214
"129",-10.2670241923969,-10.3624708196548,-10.6237079119607,-9.75053348240942,-9.70405345998357,-9.74272089260304,-9.71866792299633,-9.79550233446927,-10.3956344542657
"130",-10.2672467787278,-11.4325638538512,-12.5749332069434,-10.786706323875,-10.8237779216226,-10.7691648262159,-10.7640956728931,-9.65032518113386,-9.47980957580985
"131",-10.2781577353459,-10.157801727891,-11.138338251246,-9.92314768866816,-9.92404233910568,-9.89169568128134,-9.89281575558107,-9.17145774553337,-10.2715323852553
"132",-10.2560215457061,-10.6294155321851,-11.8544903253463,-10.4357958134979,-10.4636255549171,-10.3919521857971,-10.3974147616385,-6.73013731063697,-10.3056682357234
"133",-10.2672082044141,-10.3565708342993,-11.391936413918,-10.1716929304632,-10.189283713957,-10.1687561172404,-10.1442459189635,-11.2152800024243,-10.8739652938043
"134",-10.2657219876231,-10.2533045523664,-11.8477559256623,-10.6557650413758,-10.6878524017633,-10.6523726033185,-10.7125921469799,-10.391740391031,-10.6912120624046
"135",-10.2762737120615,-10.0825294383772,-11.6896497505261,-10.3245597126027,-10.2917953190754,-10.2897350862988,-10.2507258747656,-9.67346455636342,-10.6703277987647
"136",-10.2727599524021,-9.96556124772913,-10.951142193868,-10.0144804651769,-10.0138683205279,-10.0357636124711,-9.99077793388671,-8.97496658894087,-10.1226374383022
"137",-10.2641387310011,-10.1762008172648,-11.5966443039423,-10.2322227870508,-10.2781048371472,-10.2355226427792,-10.2940757869422,-10.9051899813513,-10.7570040106663
"138",-10.2750237844126,-9.9456622515316,-10.659947636986,-9.59830835138903,-9.58931227274095,-9.58519398590252,-9.56623743454794,-8.91969865142333,-9.79684797632771
"139",-10.2776353716895,-9.77210658312712,-10.8894192282151,-9.9398560532846,-9.94309181336732,-9.9296916010055,-9.9267153199885,-8.93882139148948,-9.91132023429264
"140",-10.2805432130493,-10.0383713416355,-11.0059230152989,-10.1252456117031,-10.150571349532,-10.0700315868464,-10.1407159826419,-10.5746786208373,-10.695041553662
"141",-10.279668565373,-10.273566198161,-11.6498586941307,-10.499665657848,-10.5059610149117,-10.5183037284901,-10.5248320040055,-8.68160406814639,-9.2174591896921
"142",-10.2647495952129,-10.0660221139972,-11.5388233941749,-10.445446441201,-10.4939222336561,-10.4276391966988,-10.4961671229799,-10.0412238496618,-10.546667078913
"143",-10.2656712304935,-9.99211905083958,-11.1066711688949,-10.1304353964397,-10.1444404969039,-10.1163400995035,-10.1455428772789,-9.59923184542755,-10.1098368698185
"144",-10.2729650206824,-11.192274885102,-12.1155364972362,-11.0749140022063,-11.0526815602466,-11.0396628213766,-10.9799710956339,-10.4690980732325,-11.2035663626101
"145",-10.2900169747289,-9.35056345156655,-10.824329877359,-9.82794920036208,-9.821268964517,-9.84040751202324,-9.79551648457968,-8.35037402715574,-9.88272965972778
"146",-10.2635185855149,-9.97393664807688,-10.5390900264015,-9.62396055932929,-9.66937073661296,-9.61633318683848,-9.65662062241924,-9.32552662815468,-9.91106536395737
"147",-10.2667627014149,-9.38640587903254,-10.9016969329507,-10.0467924192925,-10.1033597930883,-10.119037436932,-10.1873219575474,-9.05148028500607,-9.56494814946972
"148",-10.2696783783036,-10.6581900691388,-11.6067873741457,-10.07766478388,-10.0011737815102,-10.0586328883187,-9.97635015422258,-9.24995597561245,-10.7244870035356
"149",-10.2559895989498,-10.9223847444926,-11.6471730715993,-10.3158333786731,-10.3037698491427,-10.3296432766074,-10.3378636327485,-10.9265129963143,-11.488646303008
"150",-10.2741420892829,-8.98741994472498,-10.5989548692575,-9.29127448791025,-9.32634783793731,-9.27476536819946,-9.31976227369867,-9.98750435232256,-10.6427181899007
"151",-10.2685638631504,-11.734671006551,-12.3804252356017,-10.9724693773499,-10.9649384372854,-10.969100837216,-10.985598890765,-9.87394495452311,-11.2149627506944
"152",-10.264034025685,-10.1967086765763,-11.1181634000266,-10.1391294292327,-10.0631548298365,-10.1550868128251,-10.0812086058408,-10.7834370640648,-11.2147943390811
"153",-10.2749578249108,-11.2227075620559,-12.3372210741653,-11.0999836634945,-11.0871527562825,-11.1265128237765,-11.1081884407741,-10.823143776725,-11.4712039624705
"154",-10.2795531916689,-11.0576619257214,-11.8548819644482,-10.7284313686211,-10.7349012328695,-10.7133293870476,-10.7222701718213,-10.9816438911174,-11.4597674498744
"155",-10.263402082637,-9.79412545115065,-11.0703746780087,-10.1331546927086,-10.1126574982022,-10.0975184498707,-10.0767764154623,-9.47739138819471,-11.0031749521843
"156",-10.2733114590806,-9.82610021319435,-10.7342088584289,-9.77285591351027,-9.73476894078922,-9.76897522317792,-9.75227277185454,-10.1984589695229,-10.5806901738825
"157",-10.2739910615762,-10.9433537700629,-11.9550946589155,-10.6711010426832,-10.6605469886622,-10.6556993055181,-10.5775274061835,-10.4868542702709,-11.2480878677758
"158",-10.2660717944173,-9.78709112145522,-10.9531913700762,-10.0120393692774,-10.0464967972589,-10.0442772467627,-10.0923623216128,-9.5578058111197,-10.7316763330974
"159",-10.2712761837625,-10.6209482483968,-11.6828596489375,-10.2861537625782,-10.3041417411165,-10.2897161319795,-10.310118603279,-10.3143187606085,-11.0639416879605
"160",-10.2712742707155,-9.90172251929948,-11.9687191222302,-10.6422887734715,-10.6617083503481,-10.6666229017455,-10.7276574639042,-10.8870160475567,-11.314573351578
"161",-10.2682509273351,-9.69709102883557,-10.9352095480927,-9.62017008483983,-9.63403870033414,-9.59797220362803,-9.66638088395189,-8.7405292959985,-9.18845761074229
"162",-10.2675307676604,-10.3466147002784,-11.5053907731538,-10.4251479956714,-10.3655464774453,-10.4124754033351,-10.3347556461549,-10.463194153701,-10.9179802537102
